ID,Species_common_name,Species_scientific_name,X,Y,Date,Time,Distance_m,dt_s,Speed_m_s,habitat_type,Year,Habitat_specialisation,Feeding_guild,Ground-foraging_behaviour_%,HWI,Animal_mass_g,timestamp
BB01,Northern Brownbul,Phyllastrephus strepitans,391354.8602,9842977.89,3/16/2016,14:20,89.55,600,0.15,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 14:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391282.71,9842924.85,3/16/2016,14:30,47.3,600,0.08,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 14:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391300.3196,9842907.1,3/16/2016,15:40,356,600,0.59,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 15:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391639.9395,9843013.86,3/16/2016,15:50,228.64,600,0.38,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 15:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391860.7901,9843073.04,3/16/2016,16:00,152.12,600,0.25,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 16:00
BB01,Northern Brownbul,Phyllastrephus strepitans,392007.7298,9843112.41,3/16/2016,16:10,348.58,600,0.58,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 16:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391667.7402,9843035.52,3/16/2016,16:20,120.31,600,0.2,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 16:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391616.9898,9843075.99,3/17/2016,7:00,147.41,600,0.25,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/17/2016 7:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391510.6198,9842973.94,3/17/2016,7:10,38.82,600,0.06,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/17/2016 7:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391551.9604,9843027.54,3/17/2016,11:30,46.5,600,0.08,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/17/2016 11:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391477.0898,9843600.82,3/18/2016,10:10,41.52,600,0.07,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 10:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391650.2005,9843593.81,3/18/2016,11:00,370.2,600,0.62,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 11:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391790.9796,9843592.17,3/18/2016,12:30,105.79,600,0.18,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 12:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391896.2894,9843602.21,3/18/2016,12:40,85.99,600,0.14,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 12:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391822.4497,9843558.15,3/18/2016,12:50,116.16,600,0.19,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 12:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391932.9801,9843593.88,3/18/2016,13:00,78.75,600,0.13,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 13:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391873.7995,9843541.92,3/18/2016,13:10,19.07,600,0.03,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 13:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391856.6605,9843533.56,3/18/2016,13:20,33.94,600,0.06,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 13:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391888.4997,9843545.31,3/18/2016,13:30,43.4,600,0.07,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 13:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391805.3795,9843571.38,3/18/2016,14:40,72.06,600,0.12,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 14:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391845.0899,9843631.51,3/18/2016,14:50,850.2,600,1.42,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 14:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391659.8505,9842801.73,3/18/2016,15:00,122.5,600,0.2,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 15:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391668.9595,9842679.57,3/18/2016,15:10,185.4,600,0.31,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 15:10
